date,store,product,sales,stock,day,month,weekday,product_code,store_code,lag_1,rolling_mean_7,prediction,demand_std,safety_stock,rop,order_qty
2023-01-08,S1,P1,60,71,8,1,6,0,0,65.0,74.0,59.960217,6.7116337,29.20818,448.92972,377.9297180175781
2023-01-09,S1,P1,78,51,9,1,0,0,0,60.0,71.57142857142857,77.946724,6.7116337,29.20818,574.83527,523.8352661132812
2023-01-10,S1,P1,81,79,10,1,1,0,0,78.0,72.42857142857143,80.540985,6.7116337,29.20818,592.99506,513.9950561523438
2023-01-11,S1,P1,63,51,11,1,2,0,0,81.0,72.85714285714286,62.71558,6.7116337,29.20818,468.21725,417.2172546386719
2023-01-12,S1,P1,78,82,12,1,3,0,0,63.0,70.42857142857143,79.676834,6.7116337,29.20818,586.94604,504.946044921875
2023-01-13,S1,P1,69,107,13,1,4,0,0,78.0,71.85714285714286,71.07528,6.7116337,29.20818,526.7351,419.735107421875
2023-01-14,S1,P1,79,138,14,1,5,0,0,69.0,70.57142857142857,78.151054,6.7116337,29.20818,576.26556,438.26556396484375
2023-01-15,S1,P1,74,140,15,1,6,0,0,79.0,72.57142857142857,73.741455,6.7116337,29.20818,545.3984,405.39837646484375
2023-01-16,S1,P1,67,141,16,1,0,0,0,74.0,74.57142857142857,67.68074,6.7116337,29.20818,502.9734,361.973388671875
2023-01-17,S1,P1,73,64,17,1,1,0,0,67.0,73.0,73.68386,6.7116337,29.20818,544.99524,480.9952392578125
2023-01-18,S1,P1,72,111,18,1,2,0,0,73.0,71.85714285714286,72.590096,6.7116337,29.20818,537.33887,426.3388671875
2023-01-19,S1,P1,76,104,19,1,3,0,0,72.0,73.14285714285714,75.680725,6.7116337,29.20818,558.97327,454.9732666015625
2023-01-20,S1,P1,77,113,20,1,4,0,0,76.0,72.85714285714286,75.888794,6.7116337,29.20818,560.42975,447.42974853515625
2023-01-21,S1,P1,82,52,21,1,5,0,0,77.0,74.0,80.425964,6.7116337,29.20818,592.18994,540.18994140625
